Date,sim_net_profit,sim_balance
2023.08.29 01:00,0,100000
2023.08.29 01:50,252,100252
2023.08.30 01:00,0,100252
2023.08.30 01:50,0,100252
2023.08.31 01:00,0,100252
2023.08.31 01:50,144,100396
2023.09.01 01:00,0,100396
2023.09.01 01:50,-204,100192
2023.09.04 01:00,0,100192
2023.09.04 01:50,96,100288
2023.09.05 01:00,0,100288
2023.09.05 01:50,-60,100228
2023.09.06 01:00,0,100228
2023.09.06 01:50,96,100324
2023.09.07 01:00,0,100324
2023.09.07 01:50,204,100528
2023.09.08 01:00,0,100528
2023.09.08 01:50,-408,100120
2023.09.11 01:00,0,100120
2023.09.11 01:50,1068,101188
2023.09.12 01:00,0,101188
2023.09.12 01:50,-228,100960
2023.09.13 01:00,0,100960
2023.09.13 01:50,348,101308
2023.09.14 01:00,0,101308
2023.09.14 01:50,96,101404
2023.09.15 01:00,0,101404
2023.09.15 01:50,-216,101188
2023.09.18 01:00,0,101188
2023.09.18 01:50,552,101740
2023.09.19 01:00,0,101740
2023.09.19 01:50,120,101860
2023.09.20 01:00,0,101860
2023.09.20 01:50,-12,101848
2023.09.21 01:00,0,101848
2023.09.21 01:50,348,102196
2023.09.22 01:00,0,102196
2023.09.22 01:50,204,102400
2023.09.25 01:00,0,102400
2023.09.25 02:00,-204,102196
2023.09.26 01:00,0,102196
2023.09.26 01:50,36,102232
2023.09.27 01:00,0,102232
2023.09.27 02:00,12,102244
2023.09.28 01:00,0,102244
2023.09.28 01:50,-204,102040
2023.09.29 01:00,0,102040
2023.09.29 01:50,216,102256
2023.10.02 01:00,0,102256
2023.10.02 01:05,-588,101668
2023.10.03 01:00,0,101668
2023.10.03 01:50,-252,101416
2023.10.04 01:00,0,101416
2023.10.04 01:50,-72,101344
2023.10.05 01:00,0,101344
2023.10.05 01:50,912,102256
2023.10.06 01:00,0,102256
2023.10.06 01:50,492,102748
2023.10.09 01:00,0,102748
2023.10.09 01:07,-588,102160
2023.10.10 01:00,0,102160
2023.10.10 01:50,420,102580
2023.10.11 01:00,0,102580
2023.10.11 01:50,468,103048
2023.10.12 01:00,0,103048
2023.10.12 01:50,432,103480
2023.10.13 01:00,0,103480
2023.10.13 01:50,96,103576
2023.10.16 01:00,0,103576
2023.10.16 01:50,276,103852
2023.10.17 01:00,0,103852
2023.10.17 01:50,48,103900
2023.10.18 01:00,0,103900
2023.10.18 01:50,-96,103804
2023.10.19 01:00,0,103804
2023.10.19 01:50,-84,103720
2023.10.20 01:00,0,103720
2023.10.20 01:50,-384,103336
2023.10.23 01:00,0,103336
2023.10.23 01:50,120,103456
2023.10.24 01:00,0,103456
2023.10.24 01:50,-264,103192
2023.10.25 01:00,0,103192
2023.10.25 01:10,-588,102604
2023.10.26 01:00,0,102604
2023.10.26 01:05,-588,102016
2023.10.27 01:00,0,102016
2023.10.27 01:50,324,102340
2023.10.30 01:00,0,102340
2023.10.30 01:50,-168,102172
2023.10.31 01:00,0,102172
2023.10.31 01:50,48,102220
2023.11.01 01:00,0,102220
2023.11.01 01:50,192,102412
2023.11.02 01:00,0,102412
2023.11.02 01:50,1260,103672
2023.11.03 01:00,0,103672
2023.11.03 01:50,-420,103252
2023.11.06 01:00,0,103252
2023.11.06 01:50,1164,104416
2023.11.07 01:00,0,104416
2023.11.07 01:50,-12,104404
2023.11.08 01:00,0,104404
2023.11.08 01:16,-588,103816
2023.11.09 01:00,0,103816
2023.11.09 01:50,588,104404
2023.11.10 01:00,0,104404
2023.11.10 01:18,-588,103816
2023.11.13 01:00,0,103816
2023.11.13 01:50,588,104404
2023.11.14 01:00,0,104404
2023.11.14 01:50,540,104944
2023.11.15 01:00,0,104944
2023.11.15 01:50,180,105124
2023.11.16 01:00,0,105124
2023.11.16 01:50,156,105280
2023.11.17 01:00,0,105280
2023.11.17 01:50,-84,105196
2023.11.20 01:00,0,105196
2023.11.20 01:50,528,105724
2023.11.21 01:00,0,105724
2023.11.21 01:50,276,106000
2023.11.22 01:00,0,106000
2023.11.22 01:50,420,106420
2023.11.23 01:00,0,106420
2023.11.23 01:50,360,106780
2023.11.24 01:00,0,106780
2023.11.24 01:50,168,106948
2023.11.27 01:00,0,106948
2023.11.27 01:50,0,106948
2023.11.28 01:00,0,106948
2023.11.28 01:50,1056,108004
2023.11.29 01:00,0,108004
2023.11.29 01:50,1056,109060
2023.11.30 01:00,0,109060
2023.11.30 01:50,96,109156
