"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2023","81.19","80.61","81.20","80.39","","0.15%"
"11/17/2023","81.07","78.04","81.26","77.72","","4.04%"
"11/16/2023","77.92","81.41","81.66","77.08","","-4.49%"
"11/15/2023","81.58","82.94","83.57","81.32","","-1.60%"
"11/14/2023","82.91","83.29","84.56","82.64","","-0.44%"
"11/13/2023","83.28","81.81","83.44","81.00","","1.80%"
"11/12/2023","81.81","82.03","82.16","81.75","","-0.52%"
"11/10/2023","82.24","80.53","82.76","80.52","","2.09%"
"11/09/2023","80.56","80.40","82.16","80.16","","0.07%"
"11/08/2023","80.50","82.09","82.72","79.95","","-2.07%"
"11/07/2023","82.20","85.98","85.98","82.17","","-4.43%"
"11/06/2023","86.01","86.16","87.34","85.97","","-0.15%"
"11/05/2023","86.14","86.20","86.20","85.80","","0.01%"
"11/03/2023","86.13","87.94","88.79","85.56","","-1.95%"
"11/02/2023","87.84","86.02","88.08","85.66","","2.06%"
"11/01/2023","86.07","86.52","88.31","85.63","","-0.50%"
"10/31/2023","86.50","87.76","88.50","85.85","","-1.42%"
"10/30/2023","87.75","89.50","89.93","86.95","","-1.96%"
"10/29/2023","89.50","89.53","89.64","88.70","","-0.70%"
"10/27/2023","90.13","88.67","90.70","88.06","","1.76%"
"10/26/2023","88.57","90.16","90.58","87.80","","-2.04%"
"10/25/2023","90.41","88.50","90.65","87.09","","2.12%"
"10/24/2023","88.53","90.75","90.92","87.75","","-2.45%"
"10/23/2023","90.75","92.08","92.73","89.91","","-1.46%"
"10/22/2023","92.09","92.28","92.51","91.94","","-0.78%"
"10/20/2023","92.81","93.63","94.17","92.08","","-0.63%"
"10/19/2023","93.40","91.72","93.91","89.98","","1.74%"
"10/18/2023","91.80","91.81","93.45","91.07","","0.50%"
"10/17/2023","91.34","90.35","91.42","89.35","","0.78%"
"10/16/2023","90.63","91.32","91.88","90.00","","-0.74%"
"10/15/2023","91.31","91.41","91.69","90.84","","-0.25%"
"10/13/2023","91.54","86.99","91.58","86.84","","5.40%"
"10/12/2023","86.85","86.11","88.23","85.78","","0.85%"
"10/11/2023","86.12","88.38","88.88","85.85","","-2.50%"
"10/10/2023","88.33","88.84","89.16","87.61","","-0.70%"
"10/09/2023","88.95","88.10","89.71","87.12","","0.99%"
"10/08/2023","88.08","87.16","88.84","86.75","","3.39%"
"10/06/2023","85.19","85.28","85.69","84.26","","0.26%"
"10/05/2023","84.97","86.68","87.31","84.64","","-2.18%"
"10/04/2023","86.86","91.91","92.09","86.60","","-5.56%"
"10/03/2023","91.97","91.28","92.47","90.46","","0.65%"
"10/02/2023","91.38","93.47","94.29","91.30","","-2.20%"
"10/01/2023","93.44","93.16","93.53","93.15","","0.27%"
"09/29/2023","93.19","94.11","95.20","93.03","","-1.10%"
"09/28/2023","94.23","95.59","96.47","93.88","","-1.31%"
"09/27/2023","95.48","93.68","95.92","93.68","","1.96%"
"09/26/2023","93.64","93.01","93.85","91.54","","0.59%"
"09/25/2023","93.09","93.72","93.91","92.39","","-0.67%"
"09/24/2023","93.72","93.62","93.73","93.31","","0.20%"
"09/22/2023","93.53","93.47","94.65","92.88","","0.19%"
"09/21/2023","93.35","93.20","94.71","92.32","","0.04%"
"09/20/2023","93.31","94.59","94.84","92.90","","-1.29%"
"09/19/2023","94.53","94.84","96.08","94.33","","-0.19%"
"09/18/2023","94.71","94.19","95.10","93.95","","0.55%"
"09/17/2023","94.19","94.44","94.44","94.09","","-0.28%"
"09/15/2023","94.45","94.17","94.82","92.88","","0.12%"
"09/14/2023","94.34","92.25","94.42","92.23","","2.09%"
"09/13/2023","92.41","92.25","93.06","91.85","","0.27%"
"09/12/2023","92.16","90.86","92.64","90.75","","1.45%"
"09/11/2023","90.84","90.58","91.69","90.35","","0.29%"
"09/10/2023","90.58","90.81","90.81","90.45","","-0.15%"
"09/08/2023","90.72","90.07","91.29","89.57","","0.74%"
"09/07/2023","90.05","91.04","91.18","89.77","","-0.95%"
"09/06/2023","90.91","90.46","91.40","89.72","","8.10%"
"08/28/2023","84.10","84.65","84.77","83.97","","-0.64%"
"08/27/2023","84.64","84.58","84.80","84.52","","0.11%"
"08/25/2023","84.55","83.15","84.81","82.65","","1.66%"
"08/24/2023","83.17","83.01","83.66","82.04","","0.10%"
"08/23/2023","83.09","83.96","84.30","82.02","","-1.01%"
"08/22/2023","83.94","84.47","84.71","83.91","","-0.83%"
"08/21/2023","84.64","84.75","85.90","84.38","","-0.13%"
"08/20/2023","84.75","84.93","84.93","84.59","","-0.19%"
"08/18/2023","84.91","83.91","85.14","83.41","","1.13%"
"08/17/2023","83.96","83.28","84.95","83.14","","0.59%"
"08/16/2023","83.47","85.14","85.44","83.23","","-1.95%"
"08/15/2023","85.13","86.22","86.76","84.40","","-1.39%"
"08/14/2023","86.33","86.58","86.79","85.61","","-0.30%"
"08/13/2023","86.59","86.73","86.73","86.41","","-0.14%"
"08/11/2023","86.71","86.49","87.45","85.97","","0.30%"
