Date,Type,Order,Size,Price,SL,TP,Profit,Balance
2015.08.18 00:00,buy limit,1,5,48.73,47.76,51.17,0,100000
2015.08.18 11:52,buy,1,5,48.73,47.76,51.17,0,100000
2015.08.19 00:00,buy limit,2,5,48.7,47.73,51.13,0,100000
2015.08.19 07:24,buy,2,5,48.7,47.73,51.13,0,100000
2015.08.19 14:28,s/l,1,5,47.76,47.76,51.17,-469.9,99530.1
2015.08.19 14:32,s/l,2,5,47.73,47.73,51.13,-485,99045.1
2015.08.20 00:00,buy limit,3,5,47.25,46.31,49.61,0,99045.1
2015.08.20 07:28,buy,3,5,47.25,46.31,49.61,0,99045.1
2015.08.20 15:44,s/l,3,5,46.31,46.31,49.61,-470,98575.1
2015.08.21 00:00,buy limit,4,5,46.53,45.6,48.86,0,98575.1
2015.08.21 03:41,buy,4,5,46.53,45.6,48.86,0,98575.1
2015.08.21 15:11,s/l,4,5,45.6,45.6,48.86,-465,98110.1
2015.08.24 00:00,buy limit,5,5,45.52,44.61,47.8,0,98110.1
2015.08.24 00:05,buy,5,5,45.52,44.61,47.8,0,98110.1
2015.08.24 07:42,s/l,5,5,44.61,44.61,47.8,-455,97655.1
2015.08.25 00:00,buy limit,6,5,43.1,42.24,45.25,0,97655.1
2015.08.25 05:30,buy,6,5,43.1,42.24,45.25,0,97655.1
2015.08.26 00:00,close,6,5,43.74,42.24,45.25,335.1,97990.2
2015.08.26 00:00,buy limit,7,5,43.74,42.87,45.93,0,97990.2
2015.08.26 00:02,buy,7,5,43.74,42.87,45.93,0,97990.2
2015.08.27 00:00,close,7,5,44.13,42.87,45.93,210.1,98200.3
2015.08.27 00:00,buy limit,8,5,44.13,43.25,46.34,0,98200.3
2015.08.27 05:56,buy,8,5,44.13,43.25,46.34,0,98200.3
2015.08.27 11:01,t/p,8,5,46.34,43.25,46.34,1105,99305.3
2015.08.28 00:00,buy limit,9,5,47.82,46.87,50.21,0,99305.3
2015.08.28 00:03,buy,9,5,47.82,46.87,50.21,0,99305.3
2015.08.28 11:57,t/p,9,5,50.21,46.87,50.21,1195,100500.3
2015.08.31 00:00,buy limit,10,5,50.01,49.01,52.51,0,100500.3
2015.08.31 00:01,buy,10,5,50.01,49.01,52.51,0,100500.3
2015.08.31 05:29,s/l,10,5,49.01,49.01,52.51,-500,100000.3
2015.09.01 00:00,buy limit,11,5,53.15,52.09,55.81,0,100000.3
2015.09.01 03:41,buy,11,5,53.15,52.09,55.81,0,100000.3
2015.09.01 10:34,s/l,11,5,52.09,52.09,55.81,-530,99470.3
2015.09.02 00:00,buy limit,12,5,49.03,48.05,51.48,0,99470.3
2015.09.02 00:02,buy,12,5,49.03,48.05,51.48,0,99470.3
2015.09.02 15:50,t/p,12,5,51.48,48.05,51.48,1225,100695.3
2015.09.03 00:00,buy limit,13,5,51.11,50.09,53.67,0,100695.3
2015.09.03 00:03,buy,13,5,51.11,50.09,53.67,0,100695.3
2015.09.04 00:00,close,13,5,51.4,50.09,53.67,160.1,100855.4
2015.09.04 00:00,buy limit,14,5,51.4,50.38,53.97,0,100855.4
