Date,Type,Order,Size,Price,SL,TP,Profit,Balance
2016.05.04 00:00,buy limit,1,5,44.2,43.32,46.41,0,100000
2016.05.04 00:02,buy,1,5,44.2,43.32,46.41,0,100000
2016.05.05 00:00,close,1,5,44.42,43.32,46.41,108.3,100108.3
2016.05.05 00:00,buy limit,2,5,44.42,43.54,46.64,0,100108.3
2016.05.05 05:28,buy,2,5,44.42,43.54,46.64,0,100108.3
2016.05.06 00:00,close,2,5,44.87,43.54,46.64,223.3,100331.6
2016.05.06 00:00,buy limit,3,5,44.87,43.98,47.11,0,100331.6
2016.05.06 00:01,buy,3,5,44.87,43.98,47.11,0,100331.6
2016.05.06 05:41,s/l,3,5,43.98,43.98,47.11,-445,99886.6
2016.05.09 00:00,buy limit,4,5,45.6,44.69,47.88,0,99886.6
2016.05.09 07:27,buy,4,5,45.6,44.69,47.88,0,99886.6
2016.05.09 11:49,s/l,4,5,44.69,44.69,47.88,-455,99431.6
2016.05.10 00:00,buy limit,5,5,43.66,42.79,45.84,0,99431.6
2016.05.10 05:01,buy,5,5,43.66,42.79,45.84,0,99431.6
2016.05.11 00:00,close,5,5,45.15,42.79,45.84,743.3,100174.9
2016.05.11 00:00,buy limit,6,5,45.15,44.25,47.41,0,100174.9
2016.05.11 00:02,buy,6,5,45.15,44.25,47.41,0,100174.9
2016.05.12 00:00,close,6,5,46.61,44.25,47.41,728.3,100903.2
2016.05.12 00:00,buy limit,7,5,46.61,45.68,48.94,0,100903.2
2016.05.12 00:04,buy,7,5,46.61,45.68,48.94,0,100903.2
2016.05.13 00:00,close,7,5,47.06,45.68,48.94,223.3,101126.5
2016.05.13 00:00,buy limit,8,5,47.06,46.12,49.41,0,101126.5
2016.05.13 07:04,buy,8,5,47.06,46.12,49.41,0,101126.5
2016.05.16 00:00,buy limit,9,5,46.88,45.95,49.22,0,101126.5
2016.05.16 05:27,buy,9,5,46.88,45.95,49.22,0,101126.5
2016.05.17 00:00,close,8,5,48.54,46.12,49.41,733.2,101859.7
2016.05.17 00:00,buy limit,10,5,48.54,47.57,50.97,0,101859.7
2016.05.17 00:04,buy,10,5,48.54,47.57,50.97,0,101859.7
2016.05.17 15:16,t/p,9,5,49.22,45.95,49.22,1168.3,103028
2016.05.18 00:00,close,10,5,49.08,47.57,50.97,268.3,103296.3
2016.05.18 00:00,buy limit,11,5,49.08,48.1,51.53,0,103296.3
2016.05.18 10:37,buy,11,5,49.08,48.1,51.53,0,103296.3
2016.05.19 00:00,buy limit,12,5,48.44,47.48,50.86,0,103296.3
2016.05.19 00:01,buy,12,5,48.44,47.48,50.86,0,103296.3
2016.05.19 00:51,s/l,11,5,48.1,48.1,51.53,-491.7,102804.6
2016.05.19 02:29,s/l,12,5,47.48,47.48,50.86,-480,102324.6
2016.05.20 00:00,buy limit,13,5,48.73,47.76,51.17,0,102324.6
2016.05.20 10:58,buy,13,5,48.73,47.76,51.17,0,102324.6
