"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2024","152.60","151.50","152.70","150.50","621.20K","-0.91%"
"03/01/2024","154.00","153.00","155.10","151.30","2.66M","0.65%"
"02/29/2024","153.00","149.00","155.40","149.00","6.39M","3.38%"
"02/28/2024","148.00","145.00","149.20","143.20","3.26M","2.92%"
"02/27/2024","143.80","150.00","150.00","143.80","6.48M","-3.81%"
"02/26/2024","149.50","153.60","153.60","148.90","4.00M","-2.67%"
"02/23/2024","153.60","155.00","156.00","153.60","1.32M","-0.90%"
"02/22/2024","155.00","156.80","156.80","154.90","2.96M","-1.27%"
"02/21/2024","157.00","154.80","157.00","153.70","2.84M","1.29%"
"02/20/2024","155.00","152.20","155.00","152.20","2.25M","1.24%"
"02/19/2024","153.10","153.60","154.00","153.00","2.45M","-0.78%"
"02/16/2024","154.30","151.00","154.90","150.00","2.08M","0.00%"
"02/15/2024","154.30","154.50","155.20","152.60","3.13M","1.11%"
"02/14/2024","152.60","151.80","153.10","150.70","2.97M","0.13%"
"02/13/2024","152.40","150.80","152.90","150.80","1.84M","1.06%"
"02/12/2024","150.80","149.60","152.30","149.30","1.69M","-1.82%"
"02/08/2024","153.60","150.50","154.80","149.60","6.47M","2.40%"
"02/07/2024","150.00","148.00","150.30","146.90","3.67M","1.35%"
"02/06/2024","148.00","148.40","148.80","143.20","5.76M","-0.40%"
"02/05/2024","148.60","148.10","149.50","148.00","2.90M","0.07%"
"02/02/2024","148.50","145.30","149.50","145.20","5.79M","3.13%"
"02/01/2024","144.00","143.70","144.90","143.00","2.52M","-0.69%"
"01/31/2024","145.00","143.40","146.40","142.60","4.26M","1.12%"
"01/30/2024","143.40","144.40","144.60","142.20","3.13M","-1.04%"
"01/29/2024","144.90","144.50","145.60","144.40","3.54M","0.07%"
"01/26/2024","144.80","143.90","144.80","143.20","3.19M","0.63%"
"01/25/2024","143.90","145.00","145.00","142.00","2.87M","-0.62%"
"01/24/2024","144.80","141.80","144.80","141.10","4.71M","1.97%"
"01/23/2024","142.00","142.00","142.50","140.60","3.64M","1.00%"
"01/22/2024","140.60","137.10","140.60","137.10","3.59M","2.78%"
"01/19/2024","136.80","136.00","137.60","135.90","2.26M","0.74%"
"01/18/2024","135.80","136.00","137.40","135.40","4.61M","-2.44%"
"01/17/2024","139.20","139.40","140.70","138.60","4.44M","-0.07%"
"01/16/2024","139.30","139.00","140.00","138.50","2.79M","0.22%"
"01/15/2024","139.00","141.20","141.40","138.30","3.64M","0.00%"
"01/12/2024","139.00","139.00","140.30","138.00","4.32M","-0.57%"
"01/11/2024","139.80","137.00","139.80","136.20","5.24M","3.48%"
"01/10/2024","135.10","133.60","135.30","133.50","5.22M","1.12%"
"01/09/2024","133.60","134.30","136.00","133.30","6.97M","0.98%"
"01/08/2024","132.30","134.00","136.40","132.30","2.73M","-0.60%"
"01/05/2024","133.10","130.60","133.10","129.00","1.92M","1.91%"
"01/04/2024","130.60","127.50","131.30","125.70","2.55M","3.49%"
"01/03/2024","126.20","127.80","128.50","125.90","1.61M","-1.25%"
"01/02/2024","127.80","129.60","129.90","126.70","2.49M","-2.07%"
"12/29/2023","130.50","129.10","130.50","129.10","1.07M","1.08%"
"12/28/2023","129.10","130.50","130.50","128.60","1.28M","0.39%"
"12/27/2023","128.60","130.00","130.80","128.50","3.84M","-1.08%"
"12/22/2023","130.00","130.00","130.70","129.20","520.44K","-0.31%"
"12/21/2023","130.40","129.00","130.40","128.50","1.36M","1.09%"
"12/20/2023","129.00","129.00","130.90","128.50","2.03M","-1.53%"
"12/19/2023","131.00","126.90","131.00","125.20","3.34M","3.23%"
"12/18/2023","126.90","130.00","130.60","126.90","4.60M","-2.31%"
"12/15/2023","129.90","130.60","131.20","129.70","4.83M","-0.38%"
"12/14/2023","130.40","126.70","131.20","126.70","3.21M","2.92%"
"12/13/2023","126.70","125.20","127.10","124.80","3.32M","1.36%"
"12/12/2023","125.00","124.70","125.50","124.20","3.03M","1.30%"
"12/11/2023","123.40","123.00","125.00","122.00","5.92M","-2.76%"
"12/07/2023","126.90","130.60","130.60","126.70","3.46M","-2.16%"
"12/06/2023","129.70","130.70","131.50","129.60","2.35M","-1.52%"
"12/05/2023","131.70","131.50","131.70","130.00","1.42M","0.15%"
"12/04/2023","131.50","130.10","131.60","129.80","2.82M","0.38%"
"12/01/2023","131.00","133.00","133.00","130.60","1.43M","-1.87%"
"11/30/2023","133.50","133.10","134.00","131.20","5.87M","0.07%"
"11/29/2023","133.40","132.00","134.50","131.60","3.00M","1.44%"
"11/28/2023","131.50","131.20","131.90","130.00","3.43M","-0.45%"
"11/24/2023","132.10","131.50","132.70","131.50","851.81K","0.15%"
"11/23/2023","131.90","131.60","132.30","131.10","900.65K","0.30%"
"11/22/2023","131.50","131.70","132.40","131.20","1.53M","-0.30%"
"11/21/2023","131.90","129.50","131.90","129.50","1.52M","1.93%"
"11/20/2023","129.40","129.20","130.50","129.10","3.21M","-0.61%"
"11/17/2023","130.20","129.60","131.60","129.20","2.48M","0.62%"
"11/16/2023","129.40","129.90","131.70","129.30","3.40M","-0.84%"
"11/15/2023","130.50","129.70","131.00","129.30","4.64M","0.77%"
"11/14/2023","129.50","132.50","133.10","129.50","1.94M","-2.48%"
"11/13/2023","132.80","133.80","133.80","132.70","503.60K","-0.75%"
"11/10/2023","133.80","134.70","135.50","132.30","3.23M","-0.89%"
"11/09/2023","135.00","134.90","135.70","134.00","2.94M","0.37%"
"11/08/2023","134.50","132.20","134.50","132.00","4.01M","0.98%"
"11/07/2023","133.20","130.80","133.90","129.80","2.92M","2.46%"
"11/06/2023","130.00","129.00","131.00","129.00","4.61M","1.56%"
"11/03/2023","128.00","133.80","134.00","128.00","2.72M","0.39%"
"10/31/2023","127.50","128.90","131.00","127.50","3.55M","-0.78%"
"10/27/2023","128.50","128.50","128.90","126.20","1.85M","-0.39%"
"10/26/2023","129.00","128.90","129.80","127.00","2.53M","0.00%"
"10/25/2023","129.00","127.40","129.40","126.20","2.43M","1.26%"
"10/24/2023","127.40","127.00","128.80","126.50","1.67M","0.79%"
"10/23/2023","126.40","129.00","129.40","126.40","2.78M","-2.32%"
"10/20/2023","129.40","131.10","131.20","129.40","2.28M","-1.45%"
"10/19/2023","131.30","134.50","134.90","131.00","3.09M","-2.31%"
"10/18/2023","134.40","136.00","136.00","134.40","829.26K","-0.67%"
"10/17/2023","135.30","134.00","135.90","133.60","10.09M","0.07%"
"10/16/2023","135.20","136.10","136.10","134.40","5.82M","-1.02%"
"10/13/2023","136.60","136.00","137.40","136.00","6.63M","0.81%"
"10/12/2023","135.50","136.80","137.00","134.10","2.34M","-0.37%"
"10/11/2023","136.00","139.30","139.90","136.00","7.72M","-2.37%"
"10/10/2023","139.30","139.20","139.80","138.70","1.38M","0.07%"
"10/09/2023","139.20","138.80","139.60","138.40","842.84K","-0.36%"
"10/06/2023","139.70","138.30","140.60","137.00","2.96M","0.72%"
"10/05/2023","138.70","138.60","139.80","138.20","3.98M","-0.93%"
"10/04/2023","140.00","140.20","140.20","138.60","1.63M","-0.71%"
"10/03/2023","141.00","140.10","141.00","138.40","2.20M","-0.28%"
"10/02/2023","141.40","141.90","142.70","141.10","988.58K","-0.35%"
"09/29/2023","141.90","141.40","142.30","140.70","7.28M","0.35%"
"09/28/2023","141.40","140.10","142.30","139.20","4.56M","-0.07%"
"09/27/2023","141.50","135.70","141.50","134.50","3.15M","4.20%"
"09/26/2023","135.80","133.90","136.50","132.80","5.19M","2.11%"
"09/25/2023","133.00","132.00","133.30","131.00","3.68M","1.53%"
"09/22/2023","131.00","132.00","132.00","130.50","1.71M","0.00%"
"09/21/2023","131.00","128.10","131.50","128.10","3.57M","2.50%"
"09/20/2023","127.80","128.50","129.20","127.60","3.00M","-1.54%"
