"Date","Price","Open","High","Low","Vol.","Change %"
"03/04/2024","62.95","61.05","63.00","61.05","629.35K","3.28%"
"03/01/2024","60.95","62.20","62.55","60.95","4.88M","-1.69%"
"02/29/2024","62.00","62.90","63.15","61.85","4.72M","-1.51%"
"02/28/2024","62.95","61.95","62.95","61.80","3.62M","1.61%"
"02/27/2024","61.95","61.85","61.95","61.70","1.76M","0.16%"
"02/26/2024","61.85","61.25","62.00","61.25","2.57M","1.06%"
"02/23/2024","61.20","60.50","61.65","60.50","3.14M","1.92%"
"02/22/2024","60.05","59.85","60.55","59.80","9.95M","2.30%"
"02/21/2024","58.70","58.65","58.90","58.25","1.96M","-0.34%"
"02/20/2024","58.90","58.70","59.05","58.70","1.80M","0.34%"
"02/19/2024","58.70","59.00","59.10","58.60","1.40M","-0.59%"
"02/16/2024","59.05","59.40","59.55","59.05","984.11K","-0.59%"
"02/15/2024","59.40","59.55","59.80","59.20","2.32M","-0.17%"
"02/14/2024","59.50","59.00","59.60","59.00","1.98M","0.85%"
"02/13/2024","59.00","59.50","59.85","59.00","2.38M","-0.17%"
"02/12/2024","59.10","59.25","60.00","59.00","3.28M","-0.17%"
"02/08/2024","59.20","57.80","59.95","57.80","6.12M","2.60%"
"02/07/2024","57.70","56.80","57.85","56.60","2.40M","1.58%"
"02/06/2024","56.80","57.15","57.60","56.50","1.35M","-1.56%"
"02/05/2024","57.70","57.00","57.70","56.10","3.03M","1.14%"
"02/02/2024","57.05","57.00","57.75","56.50","1.43M","0.26%"
"02/01/2024","56.90","57.00","57.00","56.20","1.42M","-0.35%"
"01/31/2024","57.10","56.50","57.35","56.20","1.43M","1.78%"
"01/30/2024","56.10","56.60","57.70","56.10","1.06M","-0.71%"
"01/29/2024","56.50","57.50","57.80","56.35","1.58M","-2.25%"
"01/26/2024","57.80","57.65","57.80","57.00","1.10M","0.52%"
"01/25/2024","57.50","58.00","58.00","57.05","827.17K","-0.86%"
"01/24/2024","58.00","57.90","58.25","57.80","1.29M","0.00%"
"01/23/2024","58.00","56.90","58.00","56.80","3.56M","1.93%"
"01/22/2024","56.90","56.25","56.90","55.95","2.47M","1.07%"
"01/19/2024","56.30","55.20","56.30","55.20","1.53M","1.90%"
"01/18/2024","55.25","55.50","55.50","54.80","2.62M","-0.45%"
"01/17/2024","55.50","55.50","56.20","54.80","3.20M","0.36%"
"01/16/2024","55.30","56.40","56.95","55.30","1.61M","-1.95%"
"01/15/2024","56.40","57.35","57.35","56.40","1.37M","-1.74%"
"01/12/2024","57.40","55.95","57.60","55.95","6.05M","2.50%"
"01/11/2024","56.00","55.90","56.20","55.85","5.93M","0.90%"
"01/10/2024","55.50","55.40","56.00","54.50","5.60M","0.18%"
"01/09/2024","55.40","54.30","55.90","54.30","6.81M","2.21%"
"01/08/2024","54.20","54.70","54.80","54.00","2.07M","-0.46%"
"01/05/2024","54.45","53.90","54.80","53.60","3.11M","1.02%"
"01/04/2024","53.90","53.00","54.00","52.85","2.28M","1.60%"
"01/03/2024","53.05","53.15","53.40","52.80","1.20M","-0.19%"
"01/02/2024","53.15","51.35","53.15","51.35","2.87M","3.61%"
"12/29/2023","51.30","51.60","51.85","51.30","1.39M","-0.58%"
"12/28/2023","51.60","51.30","51.80","50.90","1.61M","0.19%"
"12/27/2023","51.50","50.70","51.75","50.55","4.48M","1.38%"
"12/22/2023","50.80","50.90","50.90","50.70","672.39K","-0.10%"
"12/21/2023","50.85","51.00","51.00","50.60","1.19M","-0.88%"
"12/20/2023","51.30","51.10","51.80","50.90","1.32M","0.69%"
"12/19/2023","50.95","50.50","51.00","50.50","1.41M","1.19%"
"12/18/2023","50.35","50.95","51.30","50.35","1.84M","-1.18%"
"12/15/2023","50.95","51.00","51.95","50.90","5.29M","0.00%"
"12/14/2023","50.95","50.55","51.10","50.55","2.79M","1.39%"
"12/13/2023","50.25","51.45","51.80","50.25","2.62M","-2.33%"
"12/12/2023","51.45","51.00","51.50","51.00","1.48M","0.00%"
"12/11/2023","51.45","51.45","51.60","51.05","1.13M","0.00%"
"12/07/2023","51.45","50.90","51.85","50.90","723.27K","1.18%"
"12/06/2023","50.85","50.50","51.30","50.40","10.65M","0.69%"
"12/05/2023","50.50","51.30","51.55","50.35","1.68M","-1.85%"
"12/04/2023","51.45","50.90","51.65","50.20","1.17M","2.49%"
"12/01/2023","50.20","50.35","50.75","50.05","1.49M","0.50%"
"11/30/2023","49.95","50.75","50.75","49.20","8.02M","-1.77%"
"11/29/2023","50.85","51.65","51.80","50.45","3.31M","-1.26%"
"11/28/2023","51.50","51.95","52.15","51.50","2.13M","-0.87%"
